2020-12-20 14:07:23: Opened DB
2020-12-22 12:58:24: Buy COTY, Last: 7.255000114440918, MA: 7.260553783178329
2020-12-22 12:59:04: Sell COTY, Last: 7.269999980926514, MA: 7.25980377793312
2020-12-22 12:59:24: Buy COTY, Last: 7.255000114440918, MA: 7.259428781270981
2020-12-22 13:00:07: MSFT closed at 223.97000122070312
2020-12-22 13:00:07: COTY closed at 7.25
2020-12-23 09:46:34: Open for the day
2020-12-23 09:46:34: Sell COTY, Last: 7.361700057983398, MA: 7.4322887599468235
2020-12-23 09:47:37: Buy MSFT, Last: 222.76400756835938, MA: 222.75834007263182
2020-12-23 09:47:48: Sell MSFT, Last: 222.72000122070312, MA: 222.75834007263182
2020-12-23 09:48:19: Buy MSFT, Last: 222.77220153808594, MA: 222.76540260314943
2020-12-23 09:48:40: Sell MSFT, Last: 222.75, MA: 222.76540260314943
2020-12-23 09:58:14: Buy MSFT, Last: 222.7899932861328, MA: 222.78912868499756
2020-12-23 09:58:24: Sell MSFT, Last: 222.77999877929688, MA: 222.78912868499756
2020-12-23 09:58:34: Buy MSFT, Last: 222.79989624023438, MA: 222.78912868499756
2020-12-23 10:00:19: Sell MSFT, Last: 222.77999877929688, MA: 222.7950912475586
2020-12-23 10:01:53: Buy MSFT, Last: 222.82789611816406, MA: 222.79588890075684
2020-12-23 10:02:03: Sell MSFT, Last: 222.78720092773438, MA: 222.79516735076905
2020-12-23 10:03:46: Buy MSFT, Last: 222.80999755859375, MA: 222.79348735809327
2020-12-23 10:10:16: Buy COTY, Last: 7.369999885559082, MA: 7.368913763761521
2020-12-23 10:10:26: Sell COTY, Last: 7.364999771118164, MA: 7.368913763761521
2020-12-23 10:10:28: Buy COTY, Last: 7.369999885559082, MA: 7.368913763761521
2020-12-23 10:10:29: Sell COTY, Last: 7.364999771118164, MA: 7.368913763761521
2020-12-23 10:10:42: Buy COTY, Last: 7.369999885559082, MA: 7.368913763761521
2020-12-23 10:10:44: Sell COTY, Last: 7.364999771118164, MA: 7.368913763761521
2020-12-23 10:10:45: Buy COTY, Last: 7.369999885559082, MA: 7.368913763761521
2020-12-23 10:10:57: Sell COTY, Last: 7.364999771118164, MA: 7.368913763761521
2020-12-23 10:10:59: Buy COTY, Last: 7.369999885559082, MA: 7.368913763761521
2020-12-23 10:10:59: Sell COTY, Last: 7.364999771118164, MA: 7.368913763761521
2020-12-23 10:11:02: Buy COTY, Last: 7.369999885559082, MA: 7.368913763761521
2020-12-23 10:11:24: Sell COTY, Last: 7.360099792480469, MA: 7.367288762331009
2020-12-23 10:11:28: Buy COTY, Last: 7.368299961090088, MA: 7.367288762331009
2020-12-23 10:11:29: Sell COTY, Last: 7.360099792480469, MA: 7.367288762331009
2020-12-23 10:12:22: Buy COTY, Last: 7.369999885559082, MA: 7.366102504730224
2020-12-23 10:12:23: Sell COTY, Last: 7.364999771118164, MA: 7.367288762331009
2020-12-23 10:12:24: Buy COTY, Last: 7.369999885559082, MA: 7.366102504730224
2020-12-23 10:12:26: Sell COTY, Last: 7.364999771118164, MA: 7.366102504730224
2020-12-23 10:12:28: Buy COTY, Last: 7.369999885559082, MA: 7.366102504730224
2020-12-23 10:12:29: Sell COTY, Last: 7.364999771118164, MA: 7.366102504730224
2020-12-23 10:12:43: Buy COTY, Last: 7.369999885559082, MA: 7.366102504730224
2020-12-23 10:12:46: Sell COTY, Last: 7.364999771118164, MA: 7.366102504730224
2020-12-23 10:12:47: Buy COTY, Last: 7.369999885559082, MA: 7.366102504730224
2020-12-23 10:17:06: Sell MSFT, Last: 222.82000732421875, MA: 222.82324714660643
2020-12-23 10:17:07: Sell COTY, Last: 7.360000133514404, MA: 7.361863750219345
2020-12-23 10:17:18: Buy COTY, Last: 7.364999771118164, MA: 7.361863750219345
2020-12-23 10:18:08: Buy MSFT, Last: 222.8350067138672, MA: 222.82381076812743
2020-12-23 10:18:18: Sell MSFT, Last: 222.80499267578125, MA: 222.82381076812743
2020-12-23 10:18:39: Buy MSFT, Last: 222.8300018310547, MA: 222.82381076812743
2020-12-23 10:21:13: Sell COTY, Last: 7.34499979019165, MA: 7.36105375289917
2020-12-23 10:21:54: Buy COTY, Last: 7.364999771118164, MA: 7.361116254329682
2020-12-23 10:22:04: Sell COTY, Last: 7.360000133514404, MA: 7.361116254329682
2020-12-23 10:48:56: Sell MSFT, Last: 223.09190368652344, MA: 223.0948627471924
2020-12-23 10:48:56: Buy MSFT, Last: 223.10789489746094, MA: 223.0948627471924
2020-12-23 10:48:58: Sell MSFT, Last: 223.09190368652344, MA: 223.0948627471924
2020-12-23 10:49:02: Buy MSFT, Last: 223.10789489746094, MA: 223.0948627471924
2020-12-23 10:49:02: Sell MSFT, Last: 223.0800018310547, MA: 223.09483165740966
2020-12-23 10:49:03: Buy MSFT, Last: 223.10789489746094, MA: 223.0948627471924
2020-12-23 10:49:04: Sell MSFT, Last: 223.0800018310547, MA: 223.09957046508788
2020-12-23 10:49:09: Buy MSFT, Last: 223.1199951171875, MA: 223.09957046508788
2020-12-23 10:49:11: Sell MSFT, Last: 223.0800018310547, MA: 223.09483165740966
2020-12-23 10:49:12: Buy MSFT, Last: 223.1300048828125, MA: 223.09957046508788
2020-12-23 10:50:43: Sell MSFT, Last: 223.10000610351562, MA: 223.10240173339844
2020-12-23 10:50:44: Buy MSFT, Last: 223.13999938964844, MA: 223.10240173339844
2020-12-23 10:50:45: Sell MSFT, Last: 223.10000610351562, MA: 223.10240173339844
2020-12-23 10:50:47: Buy MSFT, Last: 223.1199951171875, MA: 223.10240173339844
2020-12-23 10:50:53: Sell MSFT, Last: 223.10000610351562, MA: 223.10240173339844
2020-12-23 10:50:54: Buy MSFT, Last: 223.1199951171875, MA: 223.10240173339844
2020-12-23 10:54:54: Sell MSFT, Last: 223.10000610351562, MA: 223.1172945022583
2020-12-23 10:54:54: Buy COTY, Last: 7.348700046539307, MA: 7.3206812798976895
2020-12-23 10:57:46: Sell COTY, Last: 7.309999942779541, MA: 7.317695033550263
2020-12-23 10:59:56: Buy COTY, Last: 7.315000057220459, MA: 7.314757531881332
2020-12-23 11:09:20: Sell COTY, Last: 7.309999942779541, MA: 7.3109863042831424
2020-12-23 11:09:43: Buy COTY, Last: 7.315000057220459, MA: 7.3109863042831424
2020-12-23 11:10:47: Sell COTY, Last: 7.309999942779541, MA: 7.311048799753189
2020-12-23 11:11:20: Buy COTY, Last: 7.315000057220459, MA: 7.311236298084259
2020-12-23 11:12:03: Sell COTY, Last: 7.309999942779541, MA: 7.311236298084259
2020-12-23 11:12:13: Buy COTY, Last: 7.315000057220459, MA: 7.311472547054291
2020-12-23 11:12:34: Sell COTY, Last: 7.309999942779541, MA: 7.311472547054291
2020-12-23 11:12:45: Buy COTY, Last: 7.313499927520752, MA: 7.311472547054291
2020-12-23 11:12:56: Sell COTY, Last: 7.309999942779541, MA: 7.311472547054291
2020-12-23 11:13:07: Buy COTY, Last: 7.319900035858154, MA: 7.312127542495728
2020-12-23 11:19:10: Sell COTY, Last: 7.311299800872803, MA: 7.314877539873123
2020-12-23 11:19:14: Buy COTY, Last: 7.320000171661377, MA: 7.3144725382328035
2020-12-23 11:19:15: Sell COTY, Last: 7.311299800872803, MA: 7.314877539873123
2020-12-23 11:19:17: Buy COTY, Last: 7.315000057220459, MA: 7.314877539873123
2020-12-23 11:19:19: Sell COTY, Last: 7.311299800872803, MA: 7.314877539873123
2020-12-23 11:19:20: Buy COTY, Last: 7.315000057220459, MA: 7.314877539873123
2020-12-23 11:19:25: Sell COTY, Last: 7.311299800872803, MA: 7.314877539873123
2020-12-23 11:19:26: Buy COTY, Last: 7.315000057220459, MA: 7.314877539873123
2020-12-23 11:20:30: Sell COTY, Last: 7.3140997886657715, MA: 7.317436289787293
2020-12-23 11:20:32: Buy COTY, Last: 7.320000171661377, MA: 7.317436289787293
2020-12-23 11:20:33: Sell COTY, Last: 7.3140997886657715, MA: 7.317436289787293
2020-12-23 11:20:34: Buy COTY, Last: 7.320000171661377, MA: 7.317436289787293
2020-12-23 11:20:35: Sell COTY, Last: 7.3140997886657715, MA: 7.317436289787293
2020-12-23 11:25:25: Buy COTY, Last: 7.324999809265137, MA: 7.320911276340484
2020-12-23 11:26:07: Sell COTY, Last: 7.320000171661377, MA: 7.320911276340484
2020-12-23 11:26:40: Buy COTY, Last: 7.324999809265137, MA: 7.3214237749576565
2020-12-23 11:32:54: Buy MSFT, Last: 222.86000061035156, MA: 222.8299102783203
2020-12-23 11:33:48: Sell MSFT, Last: 222.82000732421875, MA: 222.82216033935546
2020-12-23 11:33:59: Buy MSFT, Last: 222.8300018310547, MA: 222.82216033935546
2020-12-23 11:34:42: Sell MSFT, Last: 222.7967987060547, MA: 222.81389808654785
2020-12-23 11:35:35: Buy MSFT, Last: 222.80999755859375, MA: 222.80590057373047
2020-12-23 11:42:05: Sell MSFT, Last: 222.75999450683594, MA: 222.77798137664794
2020-12-23 12:07:34: Sell COTY, Last: 7.360000133514404, MA: 7.360462498664856
2020-12-23 12:07:45: Buy COTY, Last: 7.369999885559082, MA: 7.360462498664856
2020-12-23 12:08:27: Sell COTY, Last: 7.360000133514404, MA: 7.36139999628067
2020-12-23 12:08:37: Buy COTY, Last: 7.364999771118164, MA: 7.36139999628067
2020-12-23 12:09:07: Sell COTY, Last: 7.360000133514404, MA: 7.36139999628067
2020-12-23 12:09:18: Buy COTY, Last: 7.364999771118164, MA: 7.362407493591308
2020-12-23 12:44:51: Buy MSFT, Last: 222.36000061035156, MA: 222.30975532531738
2020-12-23 12:45:11: Sell MSFT, Last: 222.28460693359375, MA: 222.30831775665283
2020-12-23 12:45:42: Buy MSFT, Last: 222.3300018310547, MA: 222.30831775665283
2020-12-23 12:46:03: Sell MSFT, Last: 222.2899932861328, MA: 222.30697898864747
2020-12-23 12:46:13: Buy MSFT, Last: 222.32000732421875, MA: 222.30697898864747
2020-12-23 12:46:33: Sell MSFT, Last: 222.27999877929688, MA: 222.30697898864747
2020-12-23 12:46:54: Buy MSFT, Last: 222.31500244140625, MA: 222.30697898864747
2020-12-23 12:47:04: Sell MSFT, Last: 222.29200744628906, MA: 222.3076042175293
2020-12-23 12:48:10: Buy MSFT, Last: 222.32000732421875, MA: 222.30568561553955
2020-12-23 12:49:34: Sell MSFT, Last: 222.3000030517578, MA: 222.30438461303712
2020-12-23 12:49:43: Buy MSFT, Last: 222.3300018310547, MA: 222.30438461303712
2020-12-23 12:49:53: Sell MSFT, Last: 222.2902069091797, MA: 222.30438461303712
2020-12-23 12:51:33: Sell COTY, Last: 7.409999847412109, MA: 7.4104062736034395
2020-12-23 12:51:43: Buy COTY, Last: 7.420000076293945, MA: 7.4104062736034395
2020-12-23 12:52:34: Sell COTY, Last: 7.40500020980835, MA: 7.411218774318695
2020-12-23 12:53:06: Buy COTY, Last: 7.414999961853027, MA: 7.411718773841858
2020-12-23 12:53:26: Sell COTY, Last: 7.409999847412109, MA: 7.411718773841858
2020-12-23 12:54:17: Buy COTY, Last: 7.414999961853027, MA: 7.412281274795532
2020-12-23 12:55:20: Sell COTY, Last: 7.409999847412109, MA: 7.413041281700134
2020-12-23 12:56:01: Buy COTY, Last: 7.414999961853027, MA: 7.413041281700134
2020-12-23 12:56:10: Sell COTY, Last: 7.400100231170654, MA: 7.413711285591125
2020-12-23 12:56:11: Buy COTY, Last: 7.414999961853027, MA: 7.413041281700134
2020-12-23 12:56:12: Sell COTY, Last: 7.400100231170654, MA: 7.413711285591125
2020-12-23 12:57:18: Buy COTY, Last: 7.414999961853027, MA: 7.413961279392242
